AisleNumber,QuadNumber,Timestamp,RSSI,TCPUploadSpeed,TCPUploadQoS,TCPRoundTripTime
A1,B8,10/21/2024	10:19:57	AM,-89,23.91,72.7,51											
A1,B8,10/21/2024	10:19:35	AM,-92,22.67,74.7,53											
A1,B7,10/21/2024	10:19:08	AM,-94,13.35,81.6,52											
A1,B5,10/21/2024	10:18:46	AM,-94,15.09,82.8,47											
A1,B4,10/21/2024	10:18:27	AM,-96,11.74,81.9,49											
A1,B3,10/21/2024	10:18:06	AM,-99,13.69,80.4,57											
A4,B1,10/21/2024	10:11:37	AM,-96,13.74,76,49											
A4,B1,10/21/2024	10:11:19	AM,-97,15.01,82.1,41											
A4,B1,10/21/2024	10:10:56	AM,-96,12.51,69.3,46											
A4,B1,10/21/2024	10:10:34	AM,-94,12.25,76.7,49											
A4,B2,10/21/2024	10:10:12	AM,-93,14.01,58.8,47											
A4,B3,10/21/2024	10:09:51	AM,-93,15.09,68.4,51											
A4,B3,10/21/2024	10:09:28	AM,-95,13.19,84.3,56											
A4,B4,10/21/2024	10:09:06	AM,-92,15.11,85.4,51											
A4,B4,10/21/2024	10:08:47	AM,-103,12.46,63.1,55											
A4,B5,10/21/2024	10:08:21	AM,-88,16.04,55.7,51											
A4,B6,10/21/2024	10:07:59	AM,-87,16.65,58.5,49											
A4,B6,10/21/2024	10:07:38	AM,-81,17.24,60.9,55											
A4,B7,10/21/2024	10:07:19	AM,-89,12.33,60.6,60											
A4,B8,10/21/2024	10:06:57	AM,-89,9.55,66.1,51											
A5,B8,10/21/2024	10:05:25	AM,-81,20.67,49.1,61											
A5,B8,10/21/2024	10:04:58	AM,-77,24.65,54.1,55											
A5,B8,10/21/2024	10:04:36	AM,-82,29.14,69.4,55											
A5,B8,10/21/2024	10:04:09	AM,-78,26.29,68,47											
A5,B8,10/21/2024	10:03:48	AM,-78,26.48,59.7,54											
A5,B8,10/21/2024	10:02:20	AM,-87,25.46,84.8,52											
A5,B8,10/21/2024	10:02:00	AM,-80,20.05,40.1,57											
A5,B8,10/21/2024	10:01:39	AM,-90,24.87,68.5,47											
A5,B8,10/21/2024	10:01:19	AM,-78,23.49,59.1,49											
A5,B8,10/21/2024	10:00:56	AM,-88,20.98,54.6,50											
A5,B8,10/21/2024	10:00:36	AM,-89,14.92,48.6,53											
A5,B8,10/21/2024	10:00:11	AM,-91,17.9,84.1,51											
A5,B8,10/21/2024	9:59:51	AM,-95,15.5,69.1,49											
A5,B8,10/21/2024	9:59:28	AM,-92,19.79,89.2,50											
A5,B7,10/21/2024	9:59:06	AM,-95,15.54,89.4,54											
A5,B7,10/21/2024	9:58:43	AM,-93,17.34,73.3,53											
A5,B6,10/21/2024	9:58:25	AM,-97,14.77,80,54											
A5,B6,10/21/2024	9:58:04	AM,-97,9.28,66.8,53											
A5,B5,10/21/2024	9:57:44	AM,-95,14.66,76,46											
A5,B5,10/21/2024	9:57:23	AM,-94,15.7,83.5,65											
A5,B4,10/21/2024	9:57:01	AM,-93,13.38,78.1,55											
A5,B4,10/21/2024	9:56:34	AM,-87,18.02,66.3,61											
A5,B3,10/21/2024	9:56:14	AM,-80,34.19,72.2,54											
A5,B3,10/21/2024	9:55:55	AM,-85,22.63,58.9,64											
A5,B2,10/21/2024	9:55:37	AM,-91,15.27,78.6,50											
A5,B2,10/21/2024	9:55:16	AM,-86,15.9,65,54											
A5,B1,10/21/2024	9:54:56	AM,-88,13.43,83.6,55											
A5,B1,10/21/2024	9:54:36	AM,-89,20.23,75.6,58											
A6,B1,10/21/2024	9:54:15	AM,-87,21.08,58.5,52											
A6,B1,10/21/2024	9:53:55	AM,-92,22.22,70.2,49											
A6,B1,10/21/2024	9:53:36	AM,-81,21.89,54.7,51											
A6,B3,10/21/2024	9:53:11	AM,-87,27.31,41.6,57											
A6,B5,10/21/2024	9:52:51	AM,-93,14.9,83.4,60											
A6,B6,10/21/2024	9:52:31	AM,-96,16.56,81.3,54											
A6,B8,10/21/2024	9:52:08	AM,-96,12.93,76.8,55											
A7,B8,10/21/2024	9:51:45	AM,-100,9.47,82.3,56											
A7,B8,10/21/2024	9:51:23	AM,-99,11.25,84.6,59											
A7,B7,10/21/2024	9:51:00	AM,-97,15.78,82.5,51											
A7,B5,10/21/2024	9:50:38	AM,-95,16.76,82.5,53											
A7,B4,10/21/2024	9:50:19	AM,-93,11.06,68,51											
A7,B3,10/21/2024	9:49:59	AM,-83,32.01,53.7,52											
A8,B1,10/21/2024	9:48:18	AM,-96,27.32,53.1,47											
A8,B1,10/21/2024	9:48:00	AM,-88,20.21,83.9,50											
A8,B1,10/21/2024	9:47:39	AM,-78,34.08,63,45											
A8,B1,10/21/2024	9:47:21	AM,-77,31.4,61.7,51											
A8,B1,10/21/2024	9:47:01	AM,-90,24.72,72.1,55											
A8,B1,10/21/2024	9:46:38	AM,-80,35.48,76.5,50											
A8,B1,10/21/2024	9:46:20	AM,-85,27.88,53.2,47											
A8,B1,10/21/2024	9:45:59	AM,-83,27.79,58.2,48											
A8,B1,10/21/2024	9:45:33	AM,-88,29.02,71.5,49											
A8,B1,10/21/2024	9:45:10	AM,-93,20.7,86.5,50											
A8,B2,10/21/2024	9:44:50	AM,-94,18.9,77.4,54											
A8,B4,10/21/2024	9:44:27	AM,-93,22.32,88.9,52											
A8,B5,10/21/2024	9:44:09	AM,-95,17.09,92.1,52											
A8,B6,10/21/2024	9:43:48	AM,-97,16.4,91.5,60											
A8,B7,10/21/2024	9:43:26	AM,-98,13.73,62.5,54											
A8,B8,10/21/2024	9:43:03	AM,-93,21.88,70.3,53											
A8,B8,10/29/2024	12:03:00	PM,-102,7.93,88.7,51											
A8,B8,10/29/2024	12:02:33	PM,-100,8.31,77.7,54											
A8,B6,10/29/2024	12:01:09	PM,-98,9.98,73.2,50											
A8,B4,10/29/2024	12:00:43	PM,-95,8.55,65.3,50											
A8,B3,10/29/2024	12:00:16	PM,-97,12.66,85.8,48											
A8,B1,10/29/2024	11:59:50	AM,-94,14.43,72.5,51											
A7,B1,10/29/2024	11:59:27	AM,-91,16.6,73.9,55											
A7,B1,10/29/2024	11:59:00	AM,-92,18.83,75.5,49											
A7,B3,10/29/2024	11:58:30	AM,-95,14.16,64.7,59											
A7,B4,10/29/2024	11:58:03	AM,-95,12.09,80.9,55											
A7,B6,10/29/2024	11:57:39	AM,-96,8.86,86.2,52											
A7,B7,10/29/2024	11:57:14	AM,-98,11.9,62.9,61											
A6,B8,10/29/2024	11:56:49	AM,-100,7.21,62.1,56											
A6,B8,10/29/2024	11:56:25	AM,-100,8.6,89.9,50											
A6,B7,10/29/2024	11:55:58	AM,-102,8.68,69.3,54											
A6,B2,10/29/2024	11:54:34	AM,-90,13.1,61.3,56											
A6,B1,10/29/2024	11:54:08	AM,-91,18.46,74.7,52											
A5,B4,10/29/2024	11:52:39	AM,-95,12.19,76.8,53											
A5,B8,10/29/2024	11:51:18	AM,-95,10.96,29.3,49											
A4,B8,10/29/2024	11:50:47	AM,-98,9.41,86.2,57											
A4,B7,10/29/2024	11:50:23	AM,-98,9.42,91.7,55											
A4,B6,10/29/2024	11:49:58	AM,-95,11.63,76.1,54											
A4,B4,10/29/2024	11:49:33	AM,-94,10.54,71.3,49											
A4,B3,10/29/2024	11:49:09	AM,-93,12.57,67.4,52											
A4,B2,10/29/2024	11:48:42	AM,-88,14.68,61.9,47											
A3,B1,10/29/2024	11:48:20	AM,-88,15.42,72.2,57											
A3,B2,10/29/2024	11:47:51	AM,-83,16.77,72.7,54											
A3,B3,10/29/2024	11:47:27	AM,-86,16.39,42.4,122											
A3,B4,10/29/2024	11:47:00	AM,-91,12.7,74,51											
A3,B6,10/29/2024	11:46:33	AM,-94,12.34,63.1,60											
A2,B7,10/29/2024	11:45:09	AM,-100,8.84,75.6,51											
A2,B6,10/29/2024	11:44:47	AM,-98,9.79,81.6,52											
A2,B1,10/29/2024	11:43:19	AM,-90,16.23,76.2,52											
A1,B1,10/29/2024	11:42:56	AM,-82,14.08,66.8,61											
A1,B4,10/29/2024	11:41:34	AM,-93,12.16,74.3,50											
A1,B5,10/29/2024	11:41:12	AM,-96,13.76,70.6,51											
A1,B6,10/29/2024	11:40:49	AM,-97,12.81,81.3,54											
A1,B7,10/29/2024	11:40:27	AM,-98,11.89,92.9,49											
A1,B8,10/29/2024	11:40:04	AM,-99,15.28,65.3,52											
A1,B8,10/29/2024	11:39:40	AM,-96,10.04,80.8,53											
A1,B8,10/29/2024	11:39:13	AM,-96,13.13,95.2,50											
