"","AisleNumber","QuadNumber","AverageRSSI","AverageTCPUploadSpeed","AverageTCPUploadQoS","AverageTCPRoundTripTime"
"1","A1","B1",-98.625,11.8908333333333,69.9208333333333,51.75
"2","A1","B2",-100.5,12.085,77.65,48
"3","A1","B3",-99.25,12.395,83.2375,49.5
"4","A1","B4",-98,13.6583333333333,78.3833333333333,50.5
"5","A1","B5",-98.1428571428571,14.2142857142857,66.6142857142857,48.8571428571429
"6","A1","B6",-93.1666666666667,23.7833333333333,74.5666666666667,47.5
"7","A1","B7",-94.4285714285714,21.43,76.9714285714286,48
"8","A1","B8",-94.1666666666667,18.2946666666667,73.3933333333333,47.8333333333333
"9","A2","B1",-97.1666666666667,15.88,83.7,46
"10","A2","B2",-96.4,17.442,77.96,48.8
"11","A2","B3",-96.6666666666667,17.8266666666667,79.5666666666667,49.8333333333333
"12","A2","B4",-96.4,17.6,78.38,46.6
"13","A2","B5",-95.5,16.5216666666667,77.3666666666667,46.3333333333333
"14","A2","B6",-92.8,20.37,76.5,50.4
"15","A2","B7",-90.4,29.99,72.96,46.8
"16","A2","B8",-96.1666666666667,17.4716666666667,72.0166666666667,48
"17","A3","B1",-99.1666666666667,14.9816666666667,68.6166666666667,53.5
"18","A3","B2",-99.5,15.48,71.9,48
"19","A3","B3",-97.1666666666667,16.8416666666667,76.3333333333333,50.3333333333333
"20","A3","B4",-97.6,19.464,83.96,49.2
"21","A3","B5",-97.8,18.672,79.8,50
"22","A3","B6",-97.1666666666667,17.905,80.0833333333333,49.5
"23","A3","B7",-94.75,19.415,80.825,45.25
"24","A3","B8",-97.7142857142857,15.5128571428571,78.8857142857143,49.1428571428571
"25","A4","B1",-96.75,15.12375,72.6875,46.875
"26","A4","B2",-98.5714285714286,14.6828571428571,81.2142857142857,53.8571428571429
"27","A4","B3",-97.8571428571429,15.7242857142857,76.3285714285714,52.5714285714286
"28","A4","B4",-94.6,19.95,84.6,50.8
"29","A4","B5",-94.875,20.24375,74.675,47.125
"30","A4","B6",-91.6,21.636,80.28,48
"31","A4","B7",-94,25.234,84.3,46.2
"32","A4","B8",-96.3333333333333,21.2783333333333,82.5833333333333,48.1666666666667
"33","A5","B1",-98.5714285714286,16.49,79.1142857142857,48.2857142857143
"34","A5","B2",-98.4285714285714,16.3485714285714,82.3142857142857,51.4285714285714
"35","A5","B3",-97.875,19.2525,76.675,49
"36","A5","B4",-96.7142857142857,18.9542857142857,80.8,52.2857142857143
"37","A5","B5",-96.1666666666667,21.6,71.35,47.6666666666667
"38","A5","B6",-96.4285714285714,19.04,83.2571428571429,49.2857142857143
"39","A5","B7",-96.8571428571429,17.9057142857143,80.8571428571429,52.8571428571429
"40","A5","B8",-98.4705882352941,12.0805882352941,76.6352941176471,51
"41","A6","B1",-98,17.2771428571429,81,52.2857142857143
"42","A6","B2",-96.2,20.956,75.14,48.6
"43","A6","B3",-94.8,23.398,74.8,52.8
"44","A6","B4",-95.5714285714286,21.17,80.6285714285714,51.5714285714286
"45","A6","B5",-96.6666666666667,18.38,79.7666666666667,50.8333333333333
"46","A6","B6",-95.25,24.5575,91.1,53.5
"47","A6","B7",-95.6666666666667,19.63,84.2333333333333,56.1666666666667
"48","A6","B8",-96.2,22.558,80.7,51.6
"49","A7","B1",-97.6666666666667,22.0666666666667,79.35,52.3333333333333
"50","A7","B2",-96,17.524,75.94,51.8
"51","A7","B3",-94.875,18.98625,85.2625,50.875
"52","A7","B4",-96.6666666666667,22.5233333333333,83.1166666666667,51.1666666666667
"53","A7","B5",-95.5,22.78,64.175,42.25
"54","A7","B6",-92.6666666666667,27.52,75.95,59
"55","A7","B7",-93.3333333333333,25.36,79.6,50.8333333333333
"56","A7","B8",-95,19.8428571428571,78.5285714285714,51.2857142857143
"57","A8","B1",-96.1875,15.911875,80.75625,50.375
"58","A8","B2",-97.8571428571429,16.6228571428571,74.2285714285714,52.1428571428571
"59","A8","B3",-97,19.3575,80.4,54.5
"60","A8","B4",-98,20.0283333333333,84.9333333333333,57.6666666666667
"61","A8","B5",-96.6666666666667,18.04,83.1833333333333,49.3333333333333
"62","A8","B6",-93.5,25.405,75.9833333333333,52.1666666666667
"63","A8","B7",-92.1666666666667,19.5116666666667,70.8333333333333,52.8333333333333
"64","A8","B8",-94.125,24.0375,77.675,50.75
